# Tag name          ;  color
49.2002924_16.5963883; #ffffff
Untagged            ; #c0c0c0
55.676533_12.598295 ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
           0;                          ; WFM (mono)          ;     136000; 55.676533_12.598295
    87600000; Rádio Impuls             ; WFM (mono)          ;     120000; 49.2002924_16.5963883
    87900000;                          ; WFM (mono)          ;      60000; 55.676533_12.598295
    88300000; Radio Kiss (Jižní Morava); WFM (mono)          ;     160000; 49.2002924_16.5963883
    88800000;                          ; WFM (mono)          ;      64000; 55.676533_12.598295
    88900000;                          ; WFM (mono)          ;     104000; 49.2002924_16.5963883
    89401000; Radio Impuls             ; WFM (mono)          ;      60000; 49.2002924_16.5963883
    90400000; Český rozhlas Vltava     ; WFM (mono)          ;     120000; 49.2002924_16.5963883
    90400000;                          ; WFM (mono)          ;     160000; 55.676533_12.598295
    90800000; DR P1                    ; WFM (mono)          ;      70000; 55.676533_12.598295
    91000000; Rádio Beat               ; WFM (mono)          ;     142000; 49.2002924_16.5963883
    91400000; NOVA                     ; WFM (mono)          ;     160000; 55.676533_12.598295
    92012000;                          ; WFM (mono)          ;     160000; 55.676533_12.598295
    92401000;                          ; WFM (mono)          ;     150000; 55.676533_12.598295
    92599000; Český rozhlas Plus       ; WFM (mono)          ;      80000; 49.2002924_16.5963883
    92800000; Český rozhlas Vltava     ; WFM (mono)          ;      80000; 49.2002924_16.5963883
    93100000; Český rozhlas Brno       ; WFM (stereo)        ;     160000; 49.2002924_16.5963883
    93600000; Český rozhlas Brno       ; WFM (mono)          ;      82000; 49.2002924_16.5963883
           0; P3                       ; WFM (mono)          ;      70000; 55.676533_12.598295
    94100000;                          ; WFM (mono)          ;      44000; 49.2002924_16.5963883
    94903000;                          ; WFM (mono)          ;      82000; 49.2002924_16.5963883
    95000000; Český rozhlas Plus       ; WFM (mono)          ;      84000; 49.2002924_16.5963883
    95000000; Radio Soft               ; WFM (mono)          ;      70000; 55.676533_12.598295
    95100000; Český rozhlas Radiožurnál; WFM (mono)          ;     128000; 49.2002924_16.5963883
    95500000; Radio Čas                ; WFM (mono)          ;     164000; 49.2002924_16.5963883
    96400000; Rádio Rubi               ; WFM (mono)          ;     142000; 49.2002924_16.5963883
    96800000; Country Radio            ; WFM (mono)          ;      78000; 49.2002924_16.5963883
    97600000; Rádio Hey                ; WFM (mono)          ;     104000; 49.2002924_16.5963883
    98100000; Signál Rádio             ; WFM (mono)          ;      74000; 49.2002924_16.5963883
    98800000; Rádio Rubi               ; WFM (mono)          ;      66000; 49.2002924_16.5963883
    99000000; Hitrádio City            ; WFM (mono)          ;     104000; 49.2002924_16.5963883
    99200000; Country Radio            ; WFM (mono)          ;     104000; 49.2002924_16.5963883
    99400000; Color Music Radio        ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   100000000; Rádio Hey                ; WFM (mono)          ;      76000; 49.2002924_16.5963883
   100400000; Český rozhlas Vltava     ; WFM (mono)          ;      84000; 49.2002924_16.5963883
   100800000; Hitrádio City            ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   101000000; Radio Petrov             ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   101300000; BBC World Service        ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   101300000; Rádio ZET                ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   101400000; Hitrádio City            ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   101800000; Color Music Rádio        ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   102000000; Český rozhlas Dvojka     ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   103000000; Rádio Krokodýl           ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   103400000; Radio Petrov             ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   103700000; BBC World Service        ; WFM (mono)          ;      62000; 49.2002924_16.5963883
   103700000; Rádio ZET                ; WFM (mono)          ;      62000; 49.2002924_16.5963883
   104400000; Český rozhlas Dvojka     ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   104500000; Frekvence 1              ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   104900000;                          ; WFM (mono)          ;      60000; 55.676533_12.598295
   105100000; Rádio Jih                ; WFM (mono)          ;     102000; 49.2002924_16.5963883
   105500000; Evropa 2                 ; WFM (stereo)        ;     120000; 49.2002924_16.5963883
   105600000;                          ; WFM (mono)          ;      60000; 55.676533_12.598295
   105800000; Radio Petrov             ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   106200000; Český rozhlas Radiožurnál; WFM (mono)          ;     120000; 49.2002924_16.5963883
   106500000; Český rozhlas Brno       ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   106900000;                          ; WFM (mono)          ;      60000; 55.676533_12.598295
   107000000; Free Rádio               ; WFM (mono)          ;     120000; 49.2002924_16.5963883
   107500000; Radio Proglas            ; WFM (mono)          ;     142000; 49.2002924_16.5963883
   107800000; Český rozhlas Dvojka     ; WFM (mono)          ;      98000; 49.2002924_16.5963883
   107900000; Evropa 2                 ; WFM (mono)          ;      92000; 49.2002924_16.5963883
   109300000;                          ; WFM (mono)          ;      60000; 55.676533_12.598295
   164000000;                          ; WFM (mono)          ;     160000; 49.2002924_16.5963883
   164366000;                          ; WFM (mono)          ;     160000; 49.2002924_16.5963883
   165988000;                          ; WFM (mono)          ;      20000; 49.2002924_16.5963883
   166763000;                          ; WFM (mono)          ;      20000; 49.2002924_16.5963883
   166938000;                          ; WFM (mono)          ;      20000; 49.2002924_16.5963883
